individual	pedigree	fullSampleName	family
CNJ02_1_150	CQxMQ	CNJ02_1_150:250382240	CNJ02
CNJ02_1_151	CQxMQ	CNJ02_1_151:250382241	CNJ02
CNJ02_1_152	CQxMQ	CNJ02_1_152:250382242	CNJ02
CNJ02_1_153	CQxMQ	CNJ02_1_153:250382243	CNJ02
CNJ02_1_154	CQxMQ	CNJ02_1_154:250382244	CNJ02
CNJ02_1_155	CQxMQ	CNJ02_1_155:250382245	CNJ02
CNJ02_1_156	CQxMQ	CNJ02_1_156:250382246	CNJ02
CNJ02_1_157	CQxMQ	CNJ02_1_157:250382257	CNJ02
CNJ02_1_16	CQxMQ	CNJ02_1_16:250382068	CNJ02
CNJ02_1_167	CQxMQ	CNJ02_1_167:250382258	CNJ02
CNJ02_1_17	CQxMQ	CNJ02_1_17:250382069	CNJ02
CNJ02_1_171	CQxMQ	CNJ02_1_171:250382259	CNJ02
CNJ02_1_172	CQxMQ	CNJ02_1_172:250382260	CNJ02
CNJ02_1_177	CQxMQ	CNJ02_1_177:250382261	CNJ02
CNJ02_1_18	CQxMQ	CNJ02_1_18:250382070	CNJ02
CNJ02_1_181	CQxMQ	CNJ02_1_181:250382262	CNJ02
CNJ02_1_182	CQxMQ	CNJ02_1_182:250382263	CNJ02
CNJ02_1_186	CQxMQ	CNJ02_1_186:250382264	CNJ02
CNJ02_1_187	CQxMQ	CNJ02_1_187:250382265	CNJ02
CNJ02_1_188	CQxMQ	CNJ02_1_188:250382266	CNJ02
CNJ02_1_189	CQxMQ	CNJ02_1_189:250382267	CNJ02
CNJ02_1_19	CQxMQ	CNJ02_1_19:250382071	CNJ02
CNJ02_1_191	CQxMQ	CNJ02_1_191:250382268	CNJ02
CNJ02_1_193	CQxMQ	CNJ02_1_193:250382269	CNJ02
CNJ02_1_198	CQxMQ	CNJ02_1_198:250382270	CNJ02
CNJ02_1_2	CQxMQ	CNJ02_1_2:250382054	CNJ02
CNJ02_1_20	CQxMQ	CNJ02_1_20:250382072	CNJ02
CNJ02_1_200	CQxMQ	CNJ02_1_200:250382271	CNJ02
CNJ02_1_201	CQxMQ	CNJ02_1_201:250382272	CNJ02
CNJ02_1_203	CQxMQ	CNJ02_1_203:250382273	CNJ02
CNJ02_1_204	CQxMQ	CNJ02_1_204:250382274	CNJ02
CNJ02_1_207	CQxMQ	CNJ02_1_207:250382275	CNJ02
CNJ02_1_21	CQxMQ	CNJ02_1_21:250382080	CNJ02
CNJ02_1_22	CQxMQ	CNJ02_1_22:250382081	CNJ02
CNJ02_1_225	CQxMQ	CNJ02_1_225:250382307	CNJ02
CNJ02_1_226	CQxMQ	CNJ02_1_226:250382308	CNJ02
CNJ02_1_228	CQxMQ	CNJ02_1_228:250382309	CNJ02
CNJ02_1_23	CQxMQ	CNJ02_1_23:250382082	CNJ02
CNJ02_1_235	CQxMQ	CNJ02_1_235:250382310	CNJ02
CNJ02_1_24	CQxMQ	CNJ02_1_24:250382083	CNJ02
CNJ02_1_25	CQxMQ	CNJ02_1_25:250382084	CNJ02
CNJ02_1_26	CQxMQ	CNJ02_1_26:250382085	CNJ02
CNJ02_1_27	CQxMQ	CNJ02_1_27:250382086	CNJ02
CNJ02_1_28	CQxMQ	CNJ02_1_28:250382087	CNJ02
CNJ02_1_29	CQxMQ	CNJ02_1_29:250382088	CNJ02
CNJ02_1_3	CQxMQ	CNJ02_1_3:250382055	CNJ02
CNJ02_1_30	CQxMQ	CNJ02_1_30:250382089	CNJ02
CNJ02_1_31	CQxMQ	CNJ02_1_31:250382090	CNJ02
CNJ02_1_32	CQxMQ	CNJ02_1_32:250382091	CNJ02
CNJ02_1_33	CQxMQ	CNJ02_1_33:250382092	CNJ02
CNJ02_1_34	CQxMQ	CNJ02_1_34:250382093	CNJ02
CNJ02_1_35	CQxMQ	CNJ02_1_35:250382094	CNJ02
CNJ02_1_36	CQxMQ	CNJ02_1_36:250382095	CNJ02
CNJ02_1_37	CQxMQ	CNJ02_1_37:250382096	CNJ02
CNJ02_1_38	CQxMQ	CNJ02_1_38:250382097	CNJ02
CNJ02_1_39	CQxMQ	CNJ02_1_39:250382098	CNJ02
CNJ02_1_4	CQxMQ	CNJ02_1_4:250382056	CNJ02
CNJ02_1_40	CQxMQ	CNJ02_1_40:250382099	CNJ02
CNJ02_1_41	CQxMQ	CNJ02_1_41:250382100	CNJ02
CNJ02_1_42	CQxMQ	CNJ02_1_42:250382101	CNJ02
CNJ02_1_43	CQxMQ	CNJ02_1_43:250382102	CNJ02
CNJ02_1_44	CQxMQ	CNJ02_1_44:250382103	CNJ02
CNJ02_1_45	CQxMQ	CNJ02_1_45:250382104	CNJ02
CNJ02_1_46	CQxMQ	CNJ02_1_46:250382105	CNJ02
CNJ02_1_47	CQxMQ	CNJ02_1_47:250382106	CNJ02
